Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
521,30,0.4000,174.0,819.0,0.1652,0.997859,"YEL002C YLR350W YML016C YGR060W YML012W YOR054C YNL130C YBR106W YMR149W YOR016C YPR113W YMR272C YGR284C YHR007C YDL212W YDR297W YAR002C-A YIL027C YGL055W YKL088W YHR039C YMR123W YMR015C YBR283C YJR118C YML055W YMR292W YJL192C YOR165W YPL186C"
522,7,0.5714,12.00,36.00,0.1935,0.865301,"YEL005C YLR408C YKL061W YDR357C YNL086W YGL079W YDR400W"
523,5,0.4000,4.000,35.00,0.08163,0.992647,"YPL020C YOL107W YDR107C YCR007C YKR066C"
524,6,0.4000,6.000,62.00,0.07500,0.998599,"YML088W YMR055C YBR020W YDL227C YER143W YJR141W"
525,5,0.4000,4.000,37.00,0.07843,0.995995,"YGR177C YMR071C YML110C YLR154W-C YER101C"
526,6,0.4667,7.000,32.00,0.1373,0.969338,"YCL017C YER048W-A YDL120W YGL018C YPL135W YPR004C"
527,6,0.4000,6.000,47.00,0.09231,0.997688,"YDR001C YOL017W YBR001C YOR173W YPL245W YLR270W"
528,5,0.4000,4.000,52.00,0.06061,0.997241,"YPL207W YKL207W YLR380W YDR258C YMR176W"
529,9,0.4444,16.00,71.00,0.1524,0.894322,"YGR163W YBR158W YDL123W YGL023C YBR077C YKR007W YML121W YCR015C YGR201C"
530,5,0.9000,9.000,66.00,0.1059,0.997090,"YBR215W YBL008W YNL206C YJR140C YOR038C"
531,6,0.4000,6.000,54.00,0.08333,0.997832,"YPL269W YMR134W YCL029C YPL155C YKR078W YMR019W"
532,5,0.4000,4.000,41.00,0.07273,0.974174,"YML131W YOL154W YAR010C YBR264C YDR470C"
533,5,0.4000,4.000,39.00,0.07547,0.979696,"YBR018C YPR054W YCL004W YOL028C YJR025C"
534,5,0.4000,4.000,45.00,0.06780,0.992647,"YPL207W YMR131C YLR380W YJL070C YFL046W"
535,4,0.5000,3.000,10.00,0.1429,0.855930,"YCR098C YNL083W YNL008C YMR119W"
536,7,0.4286,9.000,72.00,0.09474,0.998421,"YKL074C YLR116W YGR225W YIL130W YBR172C YNL210W YPL105C"
537,5,0.5000,5.000,18.00,0.1515,0.957163,"YDR267C YNL240C YHR044C YDR219C YHR122W"
538,7,0.4286,9.000,84.00,0.08411,0.989701,"YJL013C YGL229C YDL139C YAL040C YJL030W YOR026W YGR273C"
539,4,0.5000,3.000,25.00,0.08333,0.968413,"YDR374C YIL051C YGR144W YDR018C"
540,8,0.4286,12.00,117.0,0.08276,0.993747,"YDL117W YMR032W YOL070C YNL152W YNL078W YDR104C YPL158C YJL155C"
541,4,0.6667,4.000,26.00,0.1053,0.814074,"YLR221C YOR108W YNL104C YKL183W"
542,5,0.4000,4.000,29.00,0.09302,0.949260,"YDL033C YGL039W YMR089C YER064C YKL128C"
543,5,0.4000,4.000,50.00,0.06250,0.992801,"YBR249C YER100W YKL056C YPL229W YGL163C"
544,5,0.4000,4.000,27.00,0.09756,0.899162,"YLR466W YDR490C YER042W YIR044C YPL005W"
545,7,0.4286,9.000,68.00,0.09890,0.997264,"YLR043C YBL071W-A YER001W YEL040W YKL191W YIL103W YDR272W"
546,5,0.4000,4.000,54.00,0.05882,0.993551,"YIL161W YNL023C YIR007W YPR074C YBR117C"
547,7,0.4286,9.000,67.00,0.1000,0.999187,"YGL073W YKL062W YMR172W YMR037C YBR182C YBL063W YMR016C"
548,5,0.4000,4.000,78.00,0.04348,0.949826,"YCR073C YDL003W YNL284C-A YNL284C-B YDR524C"
549,5,0.4000,4.000,27.00,0.09756,0.979371,"YPL247C YMR108W YNL128W YPL164C YAR062W"
550,4,0.5000,3.000,36.00,0.06383,0.994300,"YDR251W YDL130W YLR287C YDL081C"
551,4,0.5000,3.000,25.00,0.08333,0.987673,"YGL064C YNL063W YOR260W YGL143C"
552,5,0.4000,4.000,26.00,0.1000,0.993697,"Q0050 YPR140W YPR024W YKL053C-A YLR168C"
553,4,0.5000,3.000,32.00,0.06977,0.993769,"YLR264W YDR315C YLR323C YBR094W"
554,13,0.4103,32.00,154.0,0.1509,0.966227,"YJL178C YBR207W YFL048C YOR316C YMR221C YBL102W YGL006W YML018C YDR119W YHR175W YDR105C YOL129W YDR352W"
555,6,0.4000,6.000,57.00,0.08000,0.994013,"YMR303C YHR102W YKL189W YBR001C YFL042C YOR353C"
556,5,0.4000,4.000,35.00,0.08163,0.973413,"YML095C YJR122W YPL262W YNL295W YHR008C"
557,5,0.4000,4.000,38.00,0.07692,0.983883,"YJL153C YML058W-A YOR120W YJL060W YGL027C"
558,6,0.4000,6.000,38.00,0.1071,0.949702,"YEL048C YOR074C YGR099W YKL033W YPR085C YJR136C"
559,5,0.4000,4.000,35.00,0.08163,0.990378,"YEL023C YKL216W YKR055W YDR454C YOR305W"
560,4,0.5000,3.000,21.00,0.09375,0.991726,"YJR031C YJL197W YGL050W YKR030W"
561,5,0.4000,4.000,31.00,0.08889,0.973413,"YKL093W YOR393W YLR273C YOR100C YJL118W"
562,10,0.4000,18.00,130.0,0.1071,0.983358,"YGL116W YJL013C YGL229C YGL086W YGR188C YJL030W YGR014W YOR026W YGR273C YJL206C"
563,5,0.4000,4.000,35.00,0.08163,0.997166,"YOR357C YGR108W YOR171C YOR219C YOR034C"
