Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
513,9,0.4669,16.81,23.90,0.2863,0.0165746,"YPR034W YJL176C YOR290C YHL025W YFL049W YNR023W YBR289W YPL016W YPR081C"
514,5,0.4410,4.410,46.81,0.07204,0.735190,"YCR028C-A YNR051C YLR226W YPR161C YDR117C"
515,5,0.4060,4.060,16.52,0.1328,0.662413,"YBR278W YCL032W YPR175W YBR185C YDL020C"
516,6,0.4113,6.170,50.03,0.09047,0.184988,"YCR009C YDR388W YPL249C YDR243C YMR192W YBR097W"
517,2,0.6100,0.6100,0.000,0.1323,0.0969654,"YCL045C YLR312C"
518,6,0.4560,6.840,9.240,0.2436,0.287252,"YCR071C YDR405W YLR439W YMR024W YPL173W YDR116C"
519,6,0.4020,6.030,85.02,0.05852,0.531907,"YGL106W YLR429W YBL079W YML011C YNL073W YDR032C"
520,4,0.4433,2.660,9.840,0.1298,0.148742,"YDR054C YDL132W YJR090C YDL164C"
521,4,0.4433,2.660,9.840,0.1298,0.148742,"YDR054C YDL132W YJR090C YIL046W"
522,2,0.7700,0.7700,0.000,0.1614,0.0969654,"YDR532C YGL093W"
523,6,0.4053,6.080,40.10,0.1045,0.712413,"YPL004C YGR086C YKL142W YDR490C YKR086W YGR267C"
524,6,0.4053,6.080,40.10,0.1045,0.712413,"YPL004C YGR086C YKL142W YDR490C YKR086W YOL045W"
525,6,0.4053,6.080,40.10,0.1045,0.712413,"YPL004C YGR086C YKL142W YDR490C YKR086W YPR115W"
526,21,0.4123,86.58,34.80,0.5299,2.38507e-07,"YBR081C YBR198C YLR055C YMR223W YOL148C YDR145W YDR167W YGL112C YML015C YMR005W YMR236W YPL254W YCL010C YDR176W YDR448W YGL066W YGR252W YPL047W YDR392W YCR082W YOR023C"
527,5,0.4390,4.390,11.69,0.1683,0.417018,"YOL115W YIL079C YJL050W YDL175C YOL120C"
528,5,0.4390,4.390,11.69,0.1683,0.417018,"YOL115W YIL079C YJL050W YDL175C YOR212W"
529,7,0.4343,9.120,41.91,0.1402,0.349153,"YLR197W YOR310C YPR178W YJL010C YOR078W YPR137W YJL162C"
530,4,0.4317,2.590,11.29,0.1184,0.385752,"YOR014W YPL240C YGR123C YJL199C"
531,7,0.4481,9.410,8.860,0.2916,0.0623930,"YJR065C YBR234C YDL029W YIL062C YKL013C YLR370C YMR028W"
532,4,0.4117,2.470,2.610,0.1888,0.154712,"YJL180C YJR121W YNL315C YBL099W"
533,2,0.5900,0.5900,0.000,0.1285,0.0969654,"YLR057W YMR289W"
534,2,0.7700,0.7700,0.000,0.1614,0.0969654,"YLR083C YDR313C"
535,9,0.4197,15.11,36.26,0.2178,0.268145,"YML069W YBR279W YGL244W YLR418C YOL145C YOR123C YOL108C YPL084W YML107C"
536,2,0.6100,0.6100,0.000,0.1323,0.0969654,"YMR029C YJL082W"
537,2,0.5900,0.5900,0.000,0.1285,0.0969654,"YMR098C YMR064W"
538,4,0.4350,2.610,27.09,0.06923,0.764757,"YIL035C YBR088C YKL160W YMR154C"
539,4,0.4317,2.590,1.930,0.2069,0.0956335,"YHR172W YLR212C YNL126W YBR151W"
540,2,0.7700,0.7700,0.000,0.1614,0.0969654,"YOR090C YMR105C"
541,4,0.4583,2.750,4.080,0.1854,0.153246,"YHR131C YER125W YMR275C YOR322C"
542,4,0.4300,2.580,6.440,0.1516,0.442275,"YBR017C YBR189W YOR374W YPL081W"
