Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
42,13,0.3951,30.82,15.24,0.4277,3.88442e-05,"YKL144C YPR110C YPR190C YDR045C YNL151C YNL113W YKR025W YOR116C YDR005C YJL011C YNR003C YDL150W YOR207C"
43,8,0.3167,8.868,14.46,0.2255,0.247418,"YNL224C YNL189W YLR335W YER110C YOR098C YLR347C YPL020C YAR002W"
44,17,0.3059,41.60,68.23,0.2892,0.0952919,"YHR196W YDL148C YGR090W YJL109C YDR324C YPR144C YCR057C YPR137W YPL126W YER082C YHR148W YMR093W YGR128C YLR222C YDR449C YLR409C YLR186W"
45,11,0.3090,16.99,16.52,0.3061,0.000513087,"YKL088W YOR039W YGL019W YOR061W YOL145C YGL207W YIL035C YMR172W YLR418C YER164W YML069W"
46,8,0.4604,12.89,4.522,0.3858,0.000966296,"YFR051C YGL137W YDL145C YDR238C YIL076W YPL010W YER122C YNL287W"
47,5,0.3012,3.012,13.31,0.1144,0.952654,"YPR189W YHR064C YGR285C YJL080C YDR418W"
48,5,0.3188,3.188,16.80,0.1063,0.996692,"YOL139C YGR162W YHL034C YGL049C YLR175W"
49,5,0.4669,4.669,3.937,0.2509,0.0693959,"YLR371W YBR011C YDL203C YPL066W YLR425W"
50,9,0.4207,15.14,9.349,0.3564,0.000206148,"YDR190C YLR052W YDL002C YNL059C YGL150C YFL013C YER092W YPL235W YOR141C"
51,11,0.3029,16.66,8.965,0.3498,4.03809e-05,"YBR136W YDR097C YIR002C YAR007C YJL173C YNL312W YCR092C YML032C YDR499W YDL156W YHR164C"
52,9,0.3013,10.85,14.85,0.2482,0.0386943,"YBR136W YBR114W YDR097C YIR002C YAR007C YNL312W YML032C YDL156W YCR028C-A"
53,6,0.4765,7.148,1.921,0.3393,0.00249906,"YBR175W YHR119W YPL138C YAR003W YLR015W YDR469W"
54,16,0.3175,38.10,8.613,0.4840,1.63672e-06,"YER133W YJR093C YPR107C YKL018W YMR061W YLR277C YNL317W YAL043C YDR195W YKR002W YGR156W YKL059C YDR301W YLR115W YNL222W YOR179C"
55,10,0.3038,13.67,11.74,0.3011,0.000123064,"YOL090W YBR136W YDR097C YIR002C YAR007C YNL312W YCR092C YDR499W YDL156W YHR164C"
56,15,0.3011,31.62,74.22,0.2328,0.850121,"YHR196W YGR090W YJL109C YCL059C YPR144C YCR057C YPR137W YPL126W YKR060W YER082C YHR148W YGR145W YDR449C YLR186W YLL011W"
57,4,0.3263,1.958,3.620,0.1442,0.332503,"YCR030C YDR348C YBL047C YOL016C"
58,6,0.3068,4.603,27.22,0.1050,0.977336,"YMR290C YOR206W YOL041C YMR229C YDR060W YLR029C"
59,5,0.5558,5.558,3.609,0.2900,0.0656897,"YER107C YMR047C YJL041W YJL061W YIL115C"
60,16,0.3010,36.12,64.09,0.2732,0.242825,"YHR196W YJL109C YOR078W YDR324C YPR144C YCR057C YPR137W YPL126W YER082C YMR093W YJR002W YJL069C YNL075W YLR222C YDR449C YLR409C"
61,8,0.3441,9.634,8.502,0.2822,0.00370277,"YGR161C YOR267C YJL098W YDL047W YGL197W YLR310C YFR040W YKR028W"
62,9,0.3518,12.66,3.371,0.3721,0.000371863,"YCL011C YML062C YNL253W YNL004W YDR381W YHR167W YDR138W YNL139C YDL084W"
63,14,0.2811,25.58,25.59,0.3231,0.00607802,"YER148W YGL112C YBR198C YDR145W YDR167W YGR274C YCR042C YMR005W YMR236W YML015C YPL011C YMR227C YML114C YML098W"
64,7,0.4600,9.660,9.535,0.2910,0.00525898,"YPL190C YNL251C YOL115W YLR430W YMR239C YDL175C YJL050W"
65,5,0.3079,3.079,4.830,0.1719,0.264810,"YBL007C YLR337C YOR181W YFR024C-A YML001W"
66,13,0.3061,23.87,64.79,0.2082,0.859243,"YHR088W YOR272W YHR052W YOL077C YER006W YOR206W YFL002C YFR001W YNL061W YPR016C YLR002C YKL009W YDL031W"
67,3,0.7640,2.292,5.098,0.1712,0.331260,"YPR189W YGL213C YLR398C"
68,10,0.4166,18.75,14.43,0.3526,0.00566485,"YPR034W YMR033W YOR290C YHL025W YBR289W YPL016W YJL176C YDR073W YNR023W YFL049W"
69,6,0.3101,4.651,9.607,0.1771,0.531963,"YGR020C YLR447C YEL051W YOR270C YKL119C YDR516C"
70,5,0.4757,4.757,6.000,0.2292,0.0473465,"YNL030W YPL001W YOR303W YEL056W YLL022C"
71,10,0.3018,13.58,58.01,0.1483,0.947945,"YOR272W YHR052W YOL077C YFL002C YNL061W YNL110C YKR081C YDR087C YLL008W YKL172W"
72,4,0.3758,2.255,5.649,0.1418,0.332503,"YGL099W YBR267W YHR170W YNL227C"
73,5,0.3648,3.648,4.480,0.2012,0.264810,"YBR211C YIR010W YJR112W YPL233W YAL034W-A"
74,8,0.3227,9.035,14.67,0.2275,0.215449,"YNL224C YNL189W YLR335W YMR308C YOR098C YLR347C YPL020C YAR002W"
75,8,0.3642,10.20,5.184,0.3250,0.000426117,"YNL076W YBR265W YBL023C YBR126C YPR035W YML100W YDR074W YMR261C"
76,8,0.3005,8.415,29.29,0.1567,0.784551,"YBR189W YDL060W YGR081C YBR247C YOR056C YNL207W YKL143W YIL069C"
77,4,0.3211,1.926,5.560,0.1244,0.970464,"YBR143C YDR172W YPL083C YLR386W"
78,5,0.3428,3.428,2.980,0.2089,0.0693959,"YDR264C YMR197C YKL196C YOR036W YOR212W"
79,11,0.2851,15.68,2.897,0.3864,3.58316e-05,"YBR211C YPL018W YDR383C YIR010W YBR107C YDR254W YLR381W YJR135C YGR179C YDR318W YPR046W"
80,9,0.3037,10.93,33.67,0.1746,0.570090,"YER029C YPL213W YML049C YMR240C YJL203W YDL030W YOR319W YIR009W YDL043C"
81,7,0.3145,6.605,7.135,0.2381,0.0149210,"YFL018C YNL071W YBR221C YGR193C YDR430C YER178W YBR208C"
82,5,0.3209,3.209,3.871,0.1879,0.148135,"YDL117W YER177W YGL252C YDR001C YDR099W"
83,10,0.3005,13.52,4.796,0.3529,0.000164919,"YGR020C YHR039C-A YPR036W YEL051W YDR202C YOR332W YDL185W YKL080W YJR033C YBR127C"
84,10,0.3789,17.05,1.676,0.4403,6.58644e-05,"YER025W YPL237W YLR291C YOR260W YDR211W YGR083C YJR007W YKR026C YOR101W YOR335C"
85,11,0.3892,21.41,0.2455,0.4904,1.73713e-05,"YDR407C YOR115C YGR166W YDR246W YKR068C YDR108W YMR218C YBR254C YDR472W YGR143W YML077W"
86,4,0.3308,1.985,1.891,0.1671,0.0551051,"YCR009C YMR083W YDL044C YLR139C"
87,6,0.3140,4.710,3.558,0.2324,0.00384350,"YLR221C YOL144W YNL104C YJR041C YOL058W YOR108W"
88,9,0.3001,10.80,35.83,0.1672,0.944019,"YER006W YER126C YOL127W YDR101C YGR245C YLR074C YNR053C YCR072C YLR325C"
89,8,0.4691,13.14,2.634,0.4135,0.000429949,"YDL051W YKL122C YPL210C YPL243W YDL092W YML105C YPR088C YLR452C"
90,7,0.3980,8.358,2.479,0.3365,0.00108251,"YOR217W YBR087W YOL094C YMR078C YOR144C YJR068W YNL290W"
91,8,0.5503,15.41,0.7264,0.4795,0.000249377,"YGL005C YPR105C YGR120C YNL051W YML071C YNL041C YER157W YGL223C"
92,6,0.3602,5.403,3.090,0.2637,0.0101203,"YDL126C YBR170C YDR049W YBL058W YML013W YGR048W"
93,7,0.4509,9.468,5.408,0.3279,0.00361311,"YGL100W YJR042W YPL169C YKL057C YLR208W YDL116W YGL092W"
94,7,0.5366,11.27,1.476,0.4214,0.000964757,"YCR002C YNL233W YHR107C YLR314C YDL225W YJR076C YJR092W"
95,6,0.3988,5.983,6.832,0.2411,0.0327761,"YDL195W YLR208W YPR181C YIL109C YPL085W YNL049C"
96,5,0.6497,6.497,3.169,0.3304,0.00609289,"YNR052C YCR093W YAL021C YNL288W YGR134W"
97,9,0.3147,11.33,3.668,0.3433,0.000735057,"YEL036C YGR231C YDR245W YGR132C YJL183W YJR075W YPL050C YCR043C YDR525W-A"
98,5,0.3022,3.022,16.07,0.1039,0.989214,"YMR230W YOL139C YGR162W YHL034C YAL036C"
99,4,0.4828,2.897,3.241,0.2049,0.156161,"YOR370C YKR014C YDR328C YMR258C"
100,7,0.4125,8.662,2.552,0.3435,0.00107035,"YFL034W YKL135C YHL019C YLR170C YPR029C YPL259C YBL032W"
101,6,0.3524,5.287,7.010,0.2176,0.0641026,"YKL130C YAL029C YBR202W YBR130C YPL153C YGL106W"
102,6,0.3429,5.144,3.654,0.2473,0.00246102,"YDR507C YCL024W YGL241W YKR048C YNL078W YOL070C"
103,6,0.3269,4.904,3.778,0.2371,0.0226638,"YDR188W YDL143W YOR281C YIL142W YJL111W YNL212W"
104,9,0.4730,17.03,0.5215,0.4790,0.000109549,"YPR055W YBR102C YML097C YJL085W YLR166C YGL233W YER008C YDR166C YIL068C"
105,6,0.3434,5.151,7.046,0.2129,0.114883,"YHR216W YMR061W YDR228C YOR250C YGL044C YBR105C"
106,9,0.4643,16.72,0.2630,0.4779,0.000108652,"YLR102C YLR127C YHR166C YGL240W YDR118W YOR249C YBL084C YKL022C YNL172W"
107,6,0.3516,5.273,7.757,0.2107,0.0867427,"YHR023W YKL130C YAL029C YBR202W YBR130C YGL106W"
108,4,0.5986,3.592,2.725,0.2509,0.0151914,"YIL034C YKL007W YIR003W YER071C"
109,4,0.3339,2.003,3.419,0.1493,0.332503,"YKL081W YAL003W YBR118W YPL048W"
110,6,0.6357,9.535,3.238,0.3849,0.00253743,"YKR029C YBR103W YIL112W YCR033W YGL194C YDR155C"
111,6,0.5809,8.713,1.233,0.3970,0.00213336,"YGR047C YOR110W YAL001C YBR123C YDR362C YPL007C"
112,6,0.3932,5.897,2.533,0.2887,0.00384350,"YKL045W YIR008C YNL102W YBL035C YDR292C YKL154W"
113,7,0.6686,14.04,1.023,0.4831,0.000964757,"YJR065C YBR234C YIL062C YLR370C YNR035C YKL013C YDL029W"
114,9,0.3269,11.77,0.2789,0.3916,0.000105991,"YNL282W YBL018C YBR257W YAL033W YBR167C YGR030C YHR062C YNL221C YDR478W"
115,5,0.3748,3.748,2.699,0.2279,0.0183569,"YDR311W YKL028W YNL135C YLR005W YPR056W"
116,7,0.4568,9.592,1.238,0.3863,0.00103439,"YKR091W YBR160W YBR135W YPL256C YDL155W YMR199W YLR079W"
117,3,0.4275,1.282,1.580,0.1447,0.331260,"YBL075C YLR345W YJL155C"
118,5,0.3363,3.363,4.882,0.1843,0.0712283,"YOR375C YGL130W YOR370C YKR014C YPL228W"
119,5,0.3107,3.107,1.337,0.2151,0.00596262,"YOR069W YOR132W YJL154C YHR012W YJL053W"
